"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 19 10:20:40 UTC 2025","Fri Dec 19 10:20:45 UTC 2025","5162","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_006: Registration form - Select different countries",""
"passed","Fri Dec 19 10:20:50 UTC 2025","Fri Dec 19 10:20:56 UTC 2025","5290","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_008: Registration form - Newsletter and offers checkboxes",""
"passed","Fri Dec 19 10:19:26 UTC 2025","Fri Dec 19 10:19:46 UTC 2025","19939","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_005: Login and Logout flow (requires registered user)",""
"passed","Fri Dec 19 10:20:02 UTC 2025","Fri Dec 19 10:20:13 UTC 2025","11322","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_002: Registration with minimum required fields only",""
"passed","Fri Dec 19 10:19:08 UTC 2025","Fri Dec 19 10:19:16 UTC 2025","8452","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_002: Login with invalid email",""
"failed","Fri Dec 19 10:18:58 UTC 2025","Fri Dec 19 10:18:59 UTC 2025","140","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_003: Missing email parameter returns error",""
"passed","Fri Dec 19 10:19:00 UTC 2025","Fri Dec 19 10:19:00 UTC 2025","105","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_003: Search product by name",""
"passed","Fri Dec 19 10:19:00 UTC 2025","Fri Dec 19 10:19:01 UTC 2025","973","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_004: API response time benchmark",""
"failed","Fri Dec 19 10:18:56 UTC 2025","Fri Dec 19 10:18:56 UTC 2025","147","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_002: Invalid credentials return error",""
"passed","Fri Dec 19 10:18:59 UTC 2025","Fri Dec 19 10:19:00 UTC 2025","168","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_001 @smoke: Get all products list",""
"passed","Fri Dec 19 10:19:00 UTC 2025","Fri Dec 19 10:19:00 UTC 2025","203","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_002: Verify product structure",""
"passed","Fri Dec 19 10:19:24 UTC 2025","Fri Dec 19 10:19:26 UTC 2025","2430","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_004: Login form validation - empty fields",""
"passed","Fri Dec 19 10:19:16 UTC 2025","Fri Dec 19 10:19:24 UTC 2025","7759","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_003: Login with invalid password",""
"passed","Fri Dec 19 10:20:45 UTC 2025","Fri Dec 19 10:20:50 UTC 2025","5082","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_007: Registration form - Date of birth selection",""
"passed","Fri Dec 19 10:20:38 UTC 2025","Fri Dec 19 10:20:40 UTC 2025","2289","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_005: Signup form validation - Invalid email format",""
"passed","Fri Dec 19 10:19:51 UTC 2025","Fri Dec 19 10:20:02 UTC 2025","10940","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_001: Complete user registration - Full flow",""
"passed","Fri Dec 19 10:18:54 UTC 2025","Fri Dec 19 10:18:54 UTC 2025","243","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_001 @smoke: Valid login credentials return success",""
"passed","Fri Dec 19 10:20:56 UTC 2025","Fri Dec 19 10:21:00 UTC 2025","4689","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_009: Registration form - Title selection",""
"passed","Fri Dec 19 10:18:59 UTC 2025","Fri Dec 19 10:18:59 UTC 2025","216","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_004: Response time is acceptable",""
"passed","Fri Dec 19 10:21:21 UTC 2025","Fri Dec 19 10:21:25 UTC 2025","4265","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_011: Registration with long input values",""
"passed","Fri Dec 19 10:19:01 UTC 2025","Fri Dec 19 10:19:07 UTC 2025","6228","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_001 @smoke: Verify login page elements are visible",""
"passed","Fri Dec 19 10:20:35 UTC 2025","Fri Dec 19 10:20:38 UTC 2025","2413","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_004: Signup form validation - Empty name",""
"passed","Fri Dec 19 10:19:49 UTC 2025","Fri Dec 19 10:19:51 UTC 2025","2270","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_007: Login with XSS attempt in email",""
"passed","Fri Dec 19 10:20:13 UTC 2025","Fri Dec 19 10:20:35 UTC 2025","22081","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_003: Registration with existing email should fail",""
"passed","Fri Dec 19 10:19:46 UTC 2025","Fri Dec 19 10:19:49 UTC 2025","2408","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_006: Login with SQL injection attempt",""
"passed","Fri Dec 19 10:21:00 UTC 2025","Fri Dec 19 10:21:21 UTC 2025","20830","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_010: Registration with special characters in name",""
