"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 25 17:50:08 UTC 2026","Wed Mar 25 17:50:08 UTC 2026","458","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_001 @smoke: Valid login credentials return success",""
"passed","Wed Mar 25 17:50:26 UTC 2026","Wed Mar 25 17:50:32 UTC 2026","6073","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_003: Login with invalid password",""
"passed","Wed Mar 25 17:51:39 UTC 2026","Wed Mar 25 17:51:44 UTC 2026","4350","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_007: Login with XSS attempt in email",""
"failed","Wed Mar 25 17:54:38 UTC 2026","Wed Mar 25 17:55:03 UTC 2026","24593","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_003: Registration with existing email should fail",""
"passed","Wed Mar 25 17:50:32 UTC 2026","Wed Mar 25 17:50:35 UTC 2026","2985","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_004: Login form validation - empty fields",""
"passed","Wed Mar 25 17:50:15 UTC 2026","Wed Mar 25 17:50:15 UTC 2026","181","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_001 @smoke: Get all products list",""
"passed","Wed Mar 25 17:50:14 UTC 2026","Wed Mar 25 17:50:15 UTC 2026","423","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_004: Response time is acceptable",""
"failed","Wed Mar 25 17:50:13 UTC 2026","Wed Mar 25 17:50:14 UTC 2026","214","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_003: Missing email parameter returns error",""
"passed","Wed Mar 25 17:55:27 UTC 2026","Wed Mar 25 17:55:34 UTC 2026","6626","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_009: Registration form - Title selection",""
"passed","Wed Mar 25 17:55:21 UTC 2026","Wed Mar 25 17:55:27 UTC 2026","5808","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_008: Registration form - Newsletter and offers checkboxes",""
"passed","Wed Mar 25 17:51:36 UTC 2026","Wed Mar 25 17:51:39 UTC 2026","3059","chromium","frontend/auth/login.spec.ts","Login Negative Tests","","","TC_LOGIN_006: Login with SQL injection attempt",""
"failed","Wed Mar 25 17:52:24 UTC 2026","Wed Mar 25 17:52:43 UTC 2026","19278","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_001: Complete user registration - Full flow",""
"passed","Wed Mar 25 17:55:10 UTC 2026","Wed Mar 25 17:55:15 UTC 2026","5654","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_006: Registration form - Select different countries",""
"passed","Wed Mar 25 17:56:36 UTC 2026","Wed Mar 25 17:56:42 UTC 2026","5691","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_011: Registration with long input values",""
"passed","Wed Mar 25 17:50:15 UTC 2026","Wed Mar 25 17:50:15 UTC 2026","157","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_002: Verify product structure",""
"passed","Wed Mar 25 17:55:15 UTC 2026","Wed Mar 25 17:55:21 UTC 2026","5871","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_007: Registration form - Date of birth selection",""
"passed","Wed Mar 25 17:50:15 UTC 2026","Wed Mar 25 17:50:16 UTC 2026","768","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_004: API response time benchmark",""
"passed","Wed Mar 25 17:50:16 UTC 2026","Wed Mar 25 17:50:19 UTC 2026","3092","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_001 @smoke: Verify login page elements are visible",""
"failed","Wed Mar 25 17:51:16 UTC 2026","Wed Mar 25 17:51:35 UTC 2026","19158","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_005: Login and Logout flow (requires registered user)",""
"passed","Wed Mar 25 17:55:04 UTC 2026","Wed Mar 25 17:55:07 UTC 2026","3126","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_004: Signup form validation - Empty name",""
"failed","Wed Mar 25 17:56:17 UTC 2026","Wed Mar 25 17:56:35 UTC 2026","18768","chromium","frontend/auth/register.spec.ts","Registration Edge Cases","","","TC_REG_010: Registration with special characters in name",""
"passed","Wed Mar 25 17:55:07 UTC 2026","Wed Mar 25 17:55:10 UTC 2026","2794","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_005: Signup form validation - Invalid email format",""
"passed","Wed Mar 25 17:50:15 UTC 2026","Wed Mar 25 17:50:15 UTC 2026","124","chromium","api/products/products-api.spec.ts","API: Products","","","TC_API_PROD_003: Search product by name",""
"passed","Wed Mar 25 17:50:20 UTC 2026","Wed Mar 25 17:50:26 UTC 2026","5404","chromium","frontend/auth/login.spec.ts","Login Functionality","","","TC_LOGIN_002: Login with invalid email",""
"failed","Wed Mar 25 17:50:10 UTC 2026","Wed Mar 25 17:50:10 UTC 2026","415","chromium","api/auth/login-api.spec.ts","API: Login Authentication","","","TC_API_LOGIN_002: Invalid credentials return error",""
"failed","Wed Mar 25 17:53:25 UTC 2026","Wed Mar 25 17:53:43 UTC 2026","18700","chromium","frontend/auth/register.spec.ts","User Registration","","","TC_REG_002: Registration with minimum required fields only",""
